yasmAjjAyate,yasmAt+jAyate
hetutvaM vaktavyam,hetutvam+vaktavyam
prayojakavAkyaM SrutvA,prayojakavAkyam+SrutvA
vAkyaM smarataH,vAkyam+smarataH
karmatvAmityAdi,karmatvam+ityAdi
GawakarmakAnayanAdiboDAt,Gawakarmaka+AnayanAdiboDAt
tAdfSavAkyAdataTAviDasyApi,tAdfSavAkyAdataTAviDasya+api
puMsastaTAviDa,puMsaH+taTAviDa
cenna,cet+na
SabditvamanuBavasidDam,Sabditvam+anuBavasidDam
mAnasatvopagamasaMBave,mAnasatva+upagamasaMBave
SabdaprAmARyavilayApattiriti,SabdaprAmARyavilayApattiH+iti
tAdfSAnupUrvajYAnasyApi,tAdfSAnupUrvajYAnasya+api
taTAviDAnupUrvyavyavaCinna,taTAviDa+AnupUrvyavyavaCinna
svarUpayogyatvagraharUpavyutpatterapi,svarUpayogyatvagraharUpavyutpatteH+api
darSitAtiprasNgo vAraRIyaH,darSitAtiprasaNgaH+vAraRIyaH
evaM tAdfSavyutpannasya,evam+tAdfSavyutpannasya
vAkyAttAdfSaboDasya,vAkyAt+tAdfSaboDasya
tulyayuktAnutpAdena,tulyayukta+anutpAdena
sahakAritvamupagantavyam,sahakAritvam+upagantavyam
pUrvajYAnadaSAyAM kumBaH,pUrvajYAnadaSAyAm+kumBaH
padArTopasTitisatve,padArTa+upasTitisatve
tAdfSAnvayaboDe,tAdfSa+anvayaboDe
GawapadajYAnajanyaGawopisTititva,GawapadajYAnajanyaGawa+upisTititva
amUpadajanyakarmatvopasTititvAdinA,amUpadajanyakarmatva+upasTititvAdinA
tAdfSAnupUrva,tAdfSa+AnupUrva
tAdfSAnupUrvaGawaka,tAdfSa+AnupUrvaGawaka
pfTakkAraRatvakalpanApekzayA,pfTak+kAraRatvakalpanApekzayA
lAGavAtAdfSAnupUrvaprakAraka,lAGavAtAdfSa+AnupUrvaprakAraka
jYAnajanyatattatpadArTopasTititvAdinEkEka,jYAnajanyatattatpadArTopasTititvAdina+ekEka
vinigamanAvirahAdAnupUrva,vinigamanAvirahAt+AnupUrva
hatutvopagame,hatutva+upagame
SAbdaboDApattiH,SAbdaboDa+ApattiH
prAksattAyAH,prAk+sattAyAH
tadupaDAyakAtAsaMMbanDenapadArTopasTitiviSizwasya,tadupaDAyakAtAsaMMbanDenapadArTa+upasTitiviSizwasya
viSezaRAMSasattAyA,viSezaRa+aMSasattAyA
padArTopasTApakAnupUrvajYAnatvena,padArTopasTApaka+AnupUrvajYAnatvena
gfhItumaSakyatvena,gfhItum+aSakyatvena
tAdfSaDarmasyAnyaTAsidDinirUpakatvam,tAdfSaDarmasya+anyaTAsidDinirUpakatvam
anyakAryaM prati,anyakAryam+prati
gfhItvEva,gfhItva+eva
tadGarmAvacCinnasyAnyaTA,tadGarmAvacCinnasya+anyaTA
vyAptijYAnasyAnumitO,vyAptijYAnasya+anumitO
pratyAKyAtaM dIDitikAreRa,pratyAKyAtam+dIDitikAreRa
nopadarSitavinigamanA,na+upadarSitavinigamanA
viSezyaviSezaRoBaya,viSezyaviSezaRa+uBaya
prAksattAyAH,prAk+sattAyAH
kAryotpattiprayojakatvopagame,kAryotpattiprayojakatva+upagame
tacca,tat+ca
gOravamiti,gOravam+iti
evoktavinigamanAviraha,eva+uktavinigamanAviraha
yatrAnupUrvaviSezA,yatra+AnupUrvaviSezA
tAdfSapadajYAnaM ca,tAdfSapadajYAnam+ca
vinazwaM tatra,vinazwam+tatra
SabdabudDerizwatvAt,SabdabudDeH+izwatvAt
satvameva,satvam+eva
padajYAnajanyapadArTopa,padajYAnajanyapadArTa+upa
tAdfSapadajYAnatvenEva,tAdfSapadajYAnatvena+eva
hetutAkalpanamucitam,hetutAkalpanam+ucitam
AkAMkzAjYAnanASepi,AkAMkzAjYAnanASe+api
kAryotpattirizwEva,kAryotpattiH+izwEva
nyAyyamiti,nyAyyam+iti
prakArakajYAnajanyaGawopasTititvAdinA,prakArakajYAnajanyaGawa+upasTititvAdinA
GawopasTitikatvakarmatvopasTititvAByAM hetutAdvayasya,GawopasTitikatvakarmatvopasTititvAByAm+hetutAdvayasya
janyatvasyAvacCedakatve,janyatvasya+avacCedakatve
padArTopasTititvena,padArTa+upasTititvena
padArTopasTite,padArTa+upasTite
sAmAnyato GawopatitvAdinA,sAmAnyataH+GawopatitvAdinA
uktAtiprasaMgasyEva,uktAtiprasaMgasya+eva
avyavahitaprAkkzaRA,avyavahitaprAk+kzaRA
smftisvargAdyavyavahita,smftisvargAdi+avyavahita
prAkkzaRe,prAk+kzaRe
niScayatvayAgatvAdyavacCi,niScayatvayAgatvAdi+avacCi
sAgryaniyamyatvApatteH,sAmagryaniyamyatva+ApatteH
coktasTale,ca+uktasTale
vyApArasyApi,vyApArasya+api
sAmagrISarIrentarBAva,sAmagrISarIre+antarBAva
jYAnajanyatvaBAvAnna,jYAnajanyatvaBAvAt+na
sAmagrIsamavaDAnavEkalyamiti,sAmagrIsamavaDAnavEkalyam+iti
DarmastadavacCinna,DarmaH+tadavacCinna
janakatAnirUpakavyApArasatvameva,janakatAnirUpakavyApArasatvam+eva
kAryotpAdaprayojakaM vaktavyam,kAryotpAdaprayojakam+vaktavyam
viSizwapadajYAnajanyepi,viSizwapadajYAnajanye+api
pratyAkAMkzA,prati+AkAMkzA
tAdfSavyApArasyEva,tAdfSavyApArasya+eva
hetutvamatepi,hetutvamate+api
jYAnajanyapadArTopasTiti,jYAnajanyapadArTa+upasTiti
janakatAkopasTititvena,janakatAka+upasTititvena
hetutvAByupagamAt,hetutva+aByupagamAt
svajanyapadArTopasTiti,svajanyapadArTa+upasTiti
saMbaMDenAkAMkzAjYAnasya,saMbaMDena+AkAMkzAjYAnasya
sAkzAdeva,sAkzAt+eva
SAbdaboDahetutvaM svIkaraRIyam,SAbdaboDahetutvam+svIkaraRIyam
tattadAnupUrvajYAna,tattat+AnupUrvajYAna
jYAnajanyopasTititvena,jYAnajanya+upasTititvena
hetutvepyuktasTalIya,hetutvepi+uktasTalIya
samUhAlaMbanajanyopasTitivAraRAya,samUhAlaMbanajanya+upasTitivAraRAya
tAdfSajanyatAniveSasyAvaSyakatvAt,tAdfSajanyatAniveSasya+AvaSyakatvAt
evaM darSitasTale,evam+darSitasTale
saMbaMDAtmakatAdfSopasTiti,saMbaMDAtmakatAdfSa+upasTiti
virahAnna,virahAt+na
SAbdaboDApattiriti,SAbdaboDApattiH+iti
svajanyapadArTopasTiti,svajanyapadArTa+upasTiti
pUrvavarttatvamagfhItvA,pUrvavarttitvam+agfhItvA
tAdfSopasTititvena,tAdfSa+upasTititvena
mAnABAvAcca,mAnABAvAt+ca
atrocyate,atra+ucyate
SakyalakzyaGawapawAnantArTa,SakyalakzyaGawapawAnanta+arTa
padArTopasTitihetutA,janyapadArTa+upasTitihetutA
vacCinnAvagAhitvasya,vacCinna+avagAhitvasya
SAbdatvAvacCinnaM prati,SAbdatvAvacCinnam+prati
tAdfSAnupUrvajYAnatvenEka,tAdfSAnupUrvajYAnatvena+eka
hetutAyASca,hetutAyAH+ca
lAGavAdAkAMkzAjYAnahetutAsidDiH,lAGavAt+AkAMkzAjYAnahetutAsidDiH
cAnupUrvaviSezajYAna,ca+AnupUrvaviSezajYAna
GawAdyupasTititvA,GawAdi+upasTititvA
sADAraRatAdfSopasTitiviSizwaSAbdatvena,sADAraRatAdfSa+upasTitiviSizwaSAbdatvena
samaM lakzaRayA,samam+lakzaRayA
sahakAritvaM na,sahakAritvam+na
saMBavatIti,saMBavati+iti
parasparasahakAritAyAM tatratvAt,parasparasahakAritAyAm+tatratvAt
cAmUpadasya,ca+amUpadasya
ityAmUpadatvAvacCinna,iti+amUpadatvAvacCinna
niveSanamucitam,niveSanam+ucitam
klfptAyAmeka,klfptAyAm+eka
hetutAyAmavacCedaka,hetutAyAm+avacCedaka
anyAyatvAditi,anyAyatvAt+iti
amAdipadasyApi,amAdipadasya+api
tAtparyamAtraM na,tAtparyamAtram+na
tasyArTAntare,tasya+arTAntare
jYAnasatverTAntaraSAbdaboDa,jYAnasatve+arTAntaraSAbdaboDa
idamatra,idam+atra
jYAnajanyapadArTopa,jYAnajanyapadArTa+upa
sTitirvidyate,sTitiH+vidyate
tAdfSajYAnaM tu,tAdfSajYAnam+tu
vinazwaM taduttarakzaRe,vinazwam+taduttarakzaRe
SAbdasAmagrIpratibaMDakatAyAM GawapadajYAnajanya,SAbdasAmagrIpratibaMDakatAyAm+GawapadajYAnajanya
GawopasTityamUpadajYAnajanya,GawopasTiti+amUpadajYAnajanya
tAdfSAnupUrvajYAnamapi,tAdfSAnupUrvajYAnam+api
niveSanIyamiti,niveSanIyam+iti
trayARAmanyonyamanyena,trayARAm+anyonyamanyena
samaM viSezyaviSezaRaBAve,samam+viSezyaviSezaRaBAve
AkAMkzAjYAnajanyapadArTopasTititvenAhetutvamate,AkAMkzAjYAnajanyapadArTa+upasTititvenAhetutvamate
coktasTale,ca+uktasTale
AkAMkzAjYAnanASepi,AkAMkzAjYAnanASe+api
samAnavizayakAnumityAdyutpAdAsaMBavena,samAnavizayakaanumityAdi+utpAdAsaMBavena
tayodvayoreva,tayodvayoH+eva
samaM viSezyaviSezaRaBAva,samam+viSezyaviSezaRaBAva
pratibaMDakatAbAhulyAdetanmatApekzayA,pratibaMDakatAbAhulyAt+etanmatApekzayA
pratibaMDakatAbAhulyaM sPuwam,pratibaMDakatAbAhulyam+sPuwam
cAnupUrvaviSezajYAnasya,ca+AnupUrvaviSezajYAnasya
tAdfSecCAvirahaviSizwa,tAdfSa+icCAvirahaviSizwa
padajYAnajanyakarmatvopasTiti,padajYAnajanyakarmatva+upasTiti
tAdfSasAmagrIkzaRemUpada,tAdfSasAmagrIkzaRe+amUpada
nirRayasyAvaSyakatayA,nirRayasya+AvaSyakatayA
taTAviDaviparItanirRayavaSAdeva,taTAviDaviparItanirRayavaSAt+eva
tAdfSamAnasAnutpAdanirvAhAditi,tAdfSamAnasAnutpAdanirvAhAt+iti
taTAviDAnupUrvajYAnaM viroDitaTAviDakatipayajYAnezu,taTAviDAnupUrvajYAnam+viroDitaTAviDakatipayajYAnezu
samAnavizayakAnumitO,samAnavizayaka+anumitO
GawapadAdivizayakAnanta,GawapadAdivizayaka+ananta
viDamAnasAdO,viDamAnasa+AdO
taTAviDasAmagrIpratibaMDakatAyAmupadarSitavinigamanAviraheRa,taTAviDasAmagrIpratibaMDakatAyAm+upadarSitavinigamanAviraheRa
pratibaMDakADikyaprayuktagOravasyASakyasamADAnatvAt,pratibaMDakADikyaprayuktagOravasya+aSakyasamADAnatvAt
cAkAMkzAjYAnasya,ca+AkAMkzAjYAnasya
SAbdaboDahetutAmatepi,SAbdaboDahetutAmate+api
kiM tu,kim+tu
nokta,na+ukta
tajjanyapadArTopasTitisatve,tajjanyapadArTa+upasTitisatve
viSezaRABAvena,viSezaRa+aBAvena
GawapadatvAmU,Gawapadatva+amU
tatrApi,tatra+api
padArTopasTiti,padArTa+upasTiti
viSizwAnupUrvaviSezajYAnasya,viSizwa+AnupUrvaviSezajYAnasya
niveSamAdAya,niveSam+AdAya
durvArAracca,durvArAt+ca
kAraRAntaravESizwyaM niveSyata,kAraRAntaravESizwyam+niveSyata
vinigamakadAnasyAvaSyakatvAt,vinigamakadAnasya+AvaSyakatvAt
hetutAmatepi,hetutAmate+api
padArTopa,padArTa+upa
tadasatvepi,tadasatve+api
kAraRatvAnupapattiH,kAraRatva+anupapattiH
evaM ca,evam+ca
niveSanIyo na,niveSanIyaH+na
noktagOravAvakASaH,na+uktagOravAvakASaH
GawaM kumBaH,Gawam+kumBaH
SAbdaboDApattiSca,SAbdaboDApattiH+ca
janakatAkapadArTopasTiti,janakatAkapadArTa+upasTiti
rUpakAraRaviraheREva,rUpakAraRaviraheRa+eva
yatrAmUpadaGawa,yatra+amUpadaGawa
jYAnajanyAGawakarmatvopasTitirvartate,jYAnajanyAGawakarmatvopasTitiH+vartate
vyApAravirahAdeva,vyApAravirahAt+eva
avyavahitaprAkkzaRe,avyavahitaprAk+kzaRe
kAraRavyApArasamavaDAnasyApi,kAraRavyApArasamavaDAnasya+api
kAryotpattAvapekzitatvAt,kAryotpattO+apekzitatvAt
saMskArAdikaM vartate,saMskArAdikam+vartate
tatrApi,tatra+api
nAtiprasaNgaH,na+atiprasaNgaH
DvaMsasaMskArAderAnupUrva,DvaMsasaMskArAdeH+AnupUrva
jYAnajanyatvepi,jYAnajanyatve+api
pravfttakAryAsADAraRajanakasyEva,pravfttakAryAsADAraRajanakasya+eva
tadvyApAratvAt,tat+vyApAratvAt
tAdfSAnupUrvaGawaka,tAdfSa+AnupUrvaGawaka
yatkiMcidvizayiRI,yatkiMcit+vizayiRI
taTAviDAnupUrvajYAnajanyatvena,taTAviDa+AnupUrvajYAnajanyatvena
kAraRajanyatAvacCedakIBUto yaH,kAraRajanyatAvacCedakIBUtaH+yaH
tAdfSasmfterataTAtvAt,tAdfSasmfteH+ataTAtvAt
jYAnAdijanyatAnavacCedakatvAditi,padajYAnAdijanyatAnavacCedakatvAt+iti
tAdfSaDarmasyAtmASrayaBiyA,tAdfSaDarmasya+AtmASrayaBiyA
padajYAnajanyatAnavacCedakatvepi,padajYAnajanyatAnavacCedakatve+api
rUpeREva,rUpeRa+eva
svIkaraRIyatayAnupapattivirahAt,svIkaraRIyatayA+anupapattivirahAt
PalajanakatAvacCedakatvaM saMBavati,PalajanakatAvacCedakatvam+saMBavati
vacCinnasamavaDAnameva,vacCinnasamavaDAnam+eva
kAryotpattiprayojakamupeyam,kAryotpattiprayojakam+upeyam
tattadAnupUrva,tattat+AnupUrva
jYAnajanyatAvacCedakamupeyam,jYAnajanyatAvacCedakam+upeyam
nAsaMgraha,na+asaMgraha
AkAMkzAsaMSayAcCAbda,AkAMkzAsaMSayAt+SAbda
AkAMkzAniScayatvenEva,AkAMkzAniScayatvena+eva
pratibaMDakatvamucitam,pratibaMDakatvam+ucitam
SAbdaboDAnupapattiH,SAbdaboDa+anupapattiH
tatpadadvayajYAnajanyaSAbdaboDe,tat+padadvayajYAnajanyaSAbdaboDe
pratibaMDakatvaM ca,pratibaMDakatvam+ca
Gawakarmatvayo BedAnvayaboDarUpa,GawakarmatvayaH+BedAnvayaboDarUpa
pratibaDyasyAprasidDeH,pratibaDyasya+aprasidDeH
yato GawaH,yataH+GawaH
padajYAnAnna,padajYAnAt+na
GawapadatvAmUpadatvAdi,Gawapadatva+amUpadatvAdi
tAdfSAnvayaboDa,tAdfSa+anvayaboDa
prAgevadarSitatvAt,prAk+evadarSitatvAt
ityetAdfSa,iti+etAdfSa
cAmUpadatvaprakArakajYAnajanya,ca+amUpadatvaprakArakajYAnajanya
yatrAmUpade,yatra+amUpade
jYAnavadanyatvasyEva,jYAnavadanyatvasya+eva
tadaBAvajanyatAvacCedakatvopagamAt,tadaBAvajanyatAvacCedakatva+upagamAt
tattatpadatva,tattat+padatva
GawapadAvyavahitottaratvajYAnaM na,GawapadAvyavahitottaratvajYAnam+na
evAnvayaboDa,eva+anvayaboDa
tadapyasat,tadapi+asat
saMSayasADAraRasyAkAMkzAvirahagrahasya,saMSayasADAraRasya+AkAMkzAvirahagrahasya
pratibaMDakatvepramARya,pratibaMDakatve+apramARya
hetutAyAM aprAmARyajYAnatvAvacCinna,hetutAyAm+aprAmARyajYAnatvAvacCinna
BAvasyEva,BAvasya+eva
evaM nirAkAMkzAtvajYAnasya,evam+nirAkAMkzAtvajYAnasya
GawapadAmUpada,Gawapada+amUpada
prakArakajYAnajanyapadArTopa,prakArakajYAnajanyapadArTa+upa
DarmikaGawapadAkAMkzABAva,DarmikaGawapada+AkAMkzABAva
taTAviDEkatarajYAnABAva,taTAviDa+ekatarajYAnABAva
tayormiToviSezyaviSezaRaBAve,tayoH+miToviSezyaviSezaRaBAve
cAmUpadatvA,ca+amUpadatvA
grahaGawapadatvAvacCinnaDarmikAmUpada,grahaGawapadatvAvacCinnaDarmika+amUpada
sAkAMkzatvagrahayorekatarasatve,sAkAMkzatvagrahayoH+ekatarasatve
pfTakkaraRatvayoH,pfTak+karaRatvayoH
tayormiTo,tayoH+miTo
evaM nirAkAMkzatvajYAnasya,evam+nirAkAMkzatvajYAnasya
pratibaMDakatAmatemU,pratibaMDakatAmate+amU
GawAdipadottarAmUpade,GawAdipadottara+amUpade
tattadamUpadatvA,tattat+amUpadatvA
grahasyEva,grahasya+eva
BedenAnantapratibaMDakatApAtAt,Bedena+anantapratibaMDakatApAtAt
SAbdaboDApattivAraRAya,SAbdaboDa+ApattivAraRAya
SAbdaboDahetutAmaByupetya,SAbdaboDahetutAm+aByupetya
AvaSyakatvAditi,AvaSyakatvAt+iti
jYAnasyEva,jYAnasya+eva
SAbdaboDahetutvopagamenoktAtiprasaNganirAsAt,SAbdaboDahetutvopagamena+uktAtiprasaNganirAsAt
SAbdaboDahetutvamakiYcitkaraRam,SAbdaboDahetutvam+akiYcitkaraRam
tAtparyajYAnaviraheREva,tAtparyajYAnaviraheRa+eva
SAbdaboDAnutpAdasaMBavAditi,SAbdaboDAnutpAdasaMBavAt+iti
tadDetutayEvAkAMkzAjYAnahetutAsidDeH,tadDetutayEva+AkAMkzAjYAnahetutAsidDeH
tAtparyaDarmitAvacCedakAnupUrvaviSezajYAnasya,tAtparyaDarmitAvacCedaka+AnupUrvaviSezajYAnasya
hetutvamityatra,hetutvam+ityatra
prasaktAvapi,prasaktO+api
lAGavasyAkzatatvAt,lAGavasya+akzatatvAt
manmatepi,manmate+api
tatpurUzIyayatvaniveSena,tat+purUzIyatvaniveSena
gOravAditi,gOravAt+iti
kftaM pallavitena,kftam+pallavitena
praTamo'NkaH,praTamaH+aNkaH
praviSyAvalokya,praviSya+avalokya
Kalvadya,Kalu+adya
pratyUza eva,pratyUze+eva
gehAnnizkrAntasya,gehAt+nizkrAntasya
me'kziRI,me+akziRI
gehaM gatvA,geham+gatvA
veti,vA+iti
snehodBAvanasuganDa iva,snehodBAvanasuganDaH+iva
sunimittamiva,sunimittam+iva
jIvalokaM prekze,jIvalokam+prekze
itastAvat,itaH+tAvat
iyamasmi,iyam+asmi
ko'pi,kaH+api
ciraM jIva,ciram+jIva
evaM SoBanAni,evam+SoBanAni
tvAmeva,tvAm+eva
kiM kim,kim+kim
guqo daDi,guqaH+daDi
taRqulASca,taRqulAH+ca
sarvvamasti,sarvvam+asti
gehe'sti,gehe+asti
evaM te,evam+te
aBAvaM ca,aBAvam+ca
caRqapravAtalaRqita iva,caRqapravAtalaRqitaH+iva
dUramAropya,dUram+Aropya
pAtito'smi,pAtitaH+asmi
pratipAlayatvAryaH,pratipAlayatu+AryaH
sajjaM Bavizyati,sajjam+Bavizyati
nAmEtat,nAma+etat
sahAyo Bavatu,sahAyaH+Bavatu
AryAyA upavAsaH,AryAyAH+upavAsaH
aBirUpapatirnAma,aBirUpapatiH+nAma
kimanyajAtyAm,kim+anyajAtyAm
sarvaM tAvat,sarvam+tAvat
upavAsasyopadeSikaH,upavAsasya+upadeSikaH
brAhmaRaM nimantrayitum,brAhmaRam+nimantrayitum
prAtarASo'pi,prAtarASaH+api
praviSatvAryA,praviSatu+AryA
brAhmaRamanvizyAmi,brAhmaRam+anvizyAmi
daridrabrAhmaRaM laBeya,daridrabrAhmaRam+laBeya
eza AryacArudattasya,ezaH+AryacArudattasya
AryamEtreyo nAma,AryamEtreyaH+nAma
evAgacCati,eva+AgacCati
yAvadupanimantrayAmi,yAvat+upanimantrayAmi
nimantrito'si,nimantritaH+asi
daridra iti,daridraH+iti
mAmavamanyasva,mAm+avamanyasva
guqo daDi,guqaH+daDi
taRqulASca,taRqulAH+ca
sarvamasti,sarvam+asti
mAzakA Bavizyanti,mAzakAH+Bavizyanti
tAvad BavAn,tAvat+BavAn
GftaguqadaDisusamfdDaM DUpitasUpopadaMSasamBinnam,GftaguqadaDisusamfdDam+DUpitasUpopadaMSasamBinnam
BaktamAryeRa,Baktam+AryeRa
parikramyAvalokya,parikramyA+avalokya
tAvad BavAn,tAvat+BavAn
BavizyatIti,Bavizyati+iti
punarjAnAmi,punaH+jAnAmi
Bakzyata iti,Bakzyate+iti
vyApfta iti,vyApftaH+iti
BavizyantIti,Bavizyanti+iti
eza vAcA,ezaH+vAcA
ahamapi,aham+api
tatraBavataScArudattasya,tatraBavataH+cArudattasya
AkaRWamAtramaSitvA,AkaRWamAtram+aSitvA
catvaravfzaBa iva,catvaravfzaBaH+iva
divasaM kzipAmi,divasam+kzipAmi
tatraBavataScArudattasya,tatraBavataH+cArudattasya
samaM pArAvatEH,samam+pArAvatEH
sADAraRavfttimupajIvan,sADAraRavfttim+upajIvan
alpenApi,alpena+api
adIyamAnaM,adIyamAnam+
tatraBavataScArudattasya,tatraBavataH+cArudattasya
kAraRAd gfhItAni,kAraRAt+gfhItAni
yAvadasya,yAvat+asya
tatraBavAMScArudattaH,tatraBavAn+cArudattaH
praBAtacandra iva,praBAtacandraH+iva
sakaruRapriyadarSano yaTAviBavena,sakaruRapriyadarSanaH+yaTAviBavena
gfhadEvatAnyarcayan,gfhadEvatAni+arcayan
evAgacCati,eva+AgacCati
vidUzakaScANgerikAhastA,vidUzakaH+cANgerikAhastA
nAyakaHdIrGaM niHSvasya,nAyakaHdIrGam+niHSvasya
dAridryaM Kalu,dAridryam+Kalu
socCvAsaM maraRam,socCvAsam+maraRam
balirBavati,baliH+Bavati
madgfdehalInAM,madgfdehalInAm+
haMsESca,haMsEH+ca
sArasagaRESca,sArasagaREH+ca
tAsveva,tAsu+eva
puruzayOvanAnIva,puruzayOvanAni+iva
daSAviSezamanuBavanti,daSAviSezam+anuBavanti
jyotsnAparikzaya iva,jyotsnAparikzayaH+iva
Bavata eva,BavataH+eva
SriyamanuSocAmi,Sriyam+anuSocAmi
mAM pratiBAti,mAm+pratiBAti
suKaM hi,suKam+hi
duHKAnyanuBUya,duHKAni+anuBUya
suKAttu,suKAt+tu
yo yAti,yaH+yAti
daridratAM,daridratAm+
sa jIvati,saH+jIvati
Bo vayasya,BoH+vayasya
mamArTAH,mama+arTAH
nEva,na+eva
paraM smarAmi,param+smarAmi
etattu,etat+tu
pratyayadattamUlyaM,pratyayadattamUlyam+
sattvaM saKe,sattvam+saKe
kzayamaByupEti,kzayam+aByupEti
cintAM nAwayati,cintAm+nAwayati
satyaM na,satyam+na
etattu,etat+tu
mAM dahati,mAm+dahati
nazwaDanaSriyo me,nazwaDanaSriyaH+me
bAnDavajano vAkye,bAnDavajanaH+vAkye
hAsyamupEti,hAsyam+upEti
nirvErA vimuKIBavanti,nirvErAH+vimuKIBavanti
BavantyApadaH,Bavanti+ApadaH
pApaM karma,pApam+karma
parErapi,parEH+api
tattasya,tat+tasya
idAnIM dAsyAH,idAnIm+dAsyAH
gopadArakA iva,gopadArakAH+iva
gfhAd nirgacCanti,gfhAt+nirgacCanti
punaScintyamAnasya,punaH+cintyamAnasya
santApaM karizye,santApam+karizye
samaduHKasuKo BavAn,samaduHKasuKaH+BavAn
sattvaM ca,sattvam+ca
yad daridrezu,yat+daridrezu
cAnugamyamAnA,ca+anugamyamAnA
kiM yAsi,kim+yAsi
SarIra,SarIram+
maNgAramaDyapatitamiva,aNgAramaDyapatitam+iva
tvaM Bayena,tvam+Bayena
udvignacaYcalakawAkzanivizwadfzwi,udvignacaYcalakawAkzanivizwadfzwiH+
hariRIva,hariRI+iva
SrfgAlIva,SfgAlI+iva
savfntaM me,savfntam+me
hfdayaM harantI,hfdayam+harantI
tvaM padAt,tvam+padAt
nAgIva,nAgI+iva
grahItumaTavA,grahItum+aTavA
me'sti,me+asti
gaRikAsamantAdavalokya,gaRikAsamantAt+avalokya
nazwo me,nazwaH+me
palvavaM vA,palvavam+vA
paraBftikAM vA,paraBftikAm+vA
maDukaraM vA,maDukaram+vA
SArikAM vA,SArikAm+vA
vasantamAsaM vA,vasantamAsam+vA
kiM vAsudevaH,kim+vAsudevaH
kuntIsuto vA,kuntIsutaH+vA
janamejayo vA,janamejayaH+vA
tvAM gfhItvA,tvAm+gfhItvA
mAM kuru,mAm+kuru
rAtri,rAtriH+
vAcyaM,vAcyam+
hataSezA rakziRaH,hataSezAH+rakziRaH
sAkziRo me,sAkziRaH+me
ya AtmaguRAn,yaH+AtmaguRAn
svayameva,svayam+eva
praSrayo BidyamAnaH,praSrayaH+BidyamAnaH
kimiva,kim+iva
duzkaraM madviDAnAm,duzkaram+madviDAnAm
SarIraM ca,SarIram+ca
anunayo'pi,anunayaH+api
Kalvasya,Kalu+asya
BAvo BaRati,BAvaH+BaRati
balavajjanadurlaBo'nunayaH,balavajjanadurlaBaH+anunayaH
SIrzaM tava,SIrzam+tava
mAraye'TavA,mAraye+aTavA
tvasmAdfSakAn,tu+asmAdfSakAn
yo Bavati,yaH+Bavati
Kalvaham,Kalu+aham
asmAjjanAt,asmAt+janAt
kimizyate,kim+izyate
puzpamokzapamarhati,puzpamokzapam+arhati
kftamalaNkAreRa,kftam+alaNkAreRa
ahaM BartfputraH,aham+BartfputraH
SAnto'si,SAntaH+asi
ityukte,iti+ukte
ityavagacCati,iti+avagacCati
kimapi,kim+api
anucitagatirapragalBavAkyaH,anucitagatiH+apragalBavAkyaH
paSornavAvatAraH,paSoH+navAvatAraH
veSavAsavirudDamaBihitam,veSavAsavirudDam+aBihitam
veSavAso,veSavAsaH+
tvaM mArgajAtA,tvam+mArgajAtA
lateva,latA+iva
SarIraM,SarIram+
samupacara,samam+upacara
ezAnDakArapUritagamBIrA,ezA+anDakArapUritagamBIrA
kAmayata ezA,kAmayate+ezA
idaM tasya,idam+tasya
gaRikAsaharzamAtmagatam,gaRikAsaharzam+Atmagatam
dizwyedAnImamitrajananiroDena,dizwyedAnIm+amitrajananiroDena
evaM tAvat,evam+tAvat
viwaHkaTaM nazwA,viwaHkaTam+nazwA
anvizyatAmanvizyatAm,anvizyatAm+anvizyatAm
kAmaM pradozatimireRa,kAmam+pradozatimireRa
tvaM,tvam+
sOdAmanIva,sOdAmanI+iva
tvAM sUcayizyati,tvAm+sUcayizyati
vAtavaSopanIto,vAtavaSopanItaH+
ganDaSca,ganDaH+ca
mAlAmapanIya,mAlAm+apanIya
cotsArayati,ca+utsArayati
limpatIva,limpati+iva
tamo'NgAni,tamaH+aNgAni
asatpuruzaseveva,asatpuruzasevA+eva
BayAnAM,BayAnAm+
timiraM ca,timiram+ca
tulyameva,tulyam+eva
uBayamapi,uBayam+api
yaSca,yaH+ca
yaSca,yaH+ca
unmIlitApi,unmIlitA+api
BittipariRAmasUcitaM pakzadvAram,BittipariRAmasUcitam+pakzadvAram
ihEva,iha+eva
balimupahara,balim+upahara
anyo gacCatu,anyaH+gacCatu
yaTAviBavenArcyatAm,yaTAviBavena+arcyatAm
tad gamyatAm,tat+gamyatAm
kaTaM gamizyAmi,kaTam+gamizyAmi
anugacCAtraBavantam,anugacCa+atraBavantam
BartAjYApayati,BartA+AjYApayati
taTAstu,taTA+astu
vidUzakaHdIpaM gfhItvA,vidUzakaHdIpam+gfhItvA
Bo radanike,BoH+radanike
dvAramapAvfRoti,dvAram+apAvfRoti
dIpaM nirvApayati,dIpam+nirvApayati
kimetat,kim+etat
nirgacCato mama,nirgacCataH+mama
nirvApito dIpaH,nirvApitaH+dIpaH
alpaM Kalu,alpam+Kalu
me'parAdDam,me+aparAdDam
mAM pratipAlaya,mAm+pratipAlaya
gfhItvAgacCAmi,gfhItvA+AgacCAmi
aByantaraM praviSya,aByantaram+praviSya
praveSanimittamapAvftaM pakzadvAram,praveSanimittamapAvftam+pakzadvAram
alaM cAritraBayena,alam+cAritraBayena
viwaHvilokyAtmagatam,viwaHvilokya+Atmagatam
BavanAnnirgatya,BavanAt+nirgatya
varAkaM vaYcayAmi,varAkam+vaYcayAmi
